ID,T_SNR,R_SNR,P_SNR,B_SNR,L_SNRAS,Psi,Penalty,Outcome,Rank,Runtime,RawFilename
KIC\_8462852\_Kepler\_quarter\_17,23.6145438105895,25.9791448476668,3.63301365898513,82.2201031159558,14.9213818083635,0.790683967713652,58.2597651737152,Flagged,2,6.7e-05,KIC_8462852_Kepler_quarter_17.fits
Kepler\_Q15,23.6145438105895,25.9791448476668,3.63301365898513,82.2201031159558,14.9213818083635,0.790683967713652,58.2597651737152,Flagged,2,5.9e-05,Kepler_Q15.fits
TIC\_261136679\_TESS\_sector\_86,25.9214897264827,25.380948056082,1.95132537311351,49.8059709774683,16.1894195712673,0.824192971938873,60.1137682075255,Vetoed,3,0.000171,TIC_261136679_TESS_sector_86.fits
TIC\_261136679\_TESS\_sector\_78,26.6181894755474,26.4620584133912,2.54093057540661,64.4841969052851,16.5568780871557,0.836169620398538,60.7681673768974,Vetoed,3,0.00013,TIC_261136679_TESS_sector_78.fits
TIC\_261136679\_TESS\_sector\_62,12.2556224682141,81.1727576055108,6.2773695084774,41.3592735110156,7.56022669057629,0.860909737987104,62.106547459622,Vetoed,3,4.2e-05,TIC_261136679_TESS_sector_62.fits
TIC\_261136679\_TESS\_sector\_77,21.7251287599537,22.9727566712444,2.00132313830523,42.1969219197726,13.3230276295767,0.878822081046159,63.0645027840707,Vetoed,3,0.000114,TIC_261136679_TESS_sector_77.fits
TIC\_261136679\_TESS\_sector\_87,5.97828049450911,60.8166034612785,0.475574258305356,2.84330872496569,3.6620211248842,0.882326416655179,63.2508467492293,Vetoed,3,0.000158,TIC_261136679_TESS_sector_87.fits
TOI\_201,105.908889228089,108.426265916607,19.1695071758239,1007.28551049251,64.667576328252,0.892205897917412,63.7743290246361,Vetoed,3,0.000164,TOI_201.fits
TIC\_261136679\_TESS\_sector\_82,19.9860841613689,26.3321371355663,1.85468764502786,37.0449585378285,12.0531356201126,0.931244690864163,65.816471259304,Vetoed,3,0.00011,TIC_261136679_TESS_sector_82.fits
TIC\_261136679\_TESS\_sector\_74,16.9224576386616,18.0534987794324,1.62351140065148,27.4483151366276,10.1983059466958,0.933515915825079,65.934006364503,Vetoed,3,0.000132,TIC_261136679_TESS_sector_74.fits
